"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","contributenew.opentermsarchive.org/51.89.227.200","443","INFO","HTTP","",""
"pre_128cipher","contributenew.opentermsarchive.org/51.89.227.200","443","INFO","No 128 cipher limit bug","",""
"SSLv2","contributenew.opentermsarchive.org/51.89.227.200","443","OK","not offered","",""
"SSLv3","contributenew.opentermsarchive.org/51.89.227.200","443","OK","not offered","",""
"TLS1","contributenew.opentermsarchive.org/51.89.227.200","443","INFO","not offered","",""
"TLS1_1","contributenew.opentermsarchive.org/51.89.227.200","443","INFO","not offered","",""
"TLS1_2","contributenew.opentermsarchive.org/51.89.227.200","443","OK","offered","",""
"TLS1_3","contributenew.opentermsarchive.org/51.89.227.200","443","OK","offered with final","",""
"ALPN_HTTP2","contributenew.opentermsarchive.org/51.89.227.200","443","OK","h2","",""
"ALPN","contributenew.opentermsarchive.org/51.89.227.200","443","INFO","http/1.1","",""
"cipherlist_NULL","contributenew.opentermsarchive.org/51.89.227.200","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","contributenew.opentermsarchive.org/51.89.227.200","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","contributenew.opentermsarchive.org/51.89.227.200","443","OK","not offered","","CWE-327"
"cipherlist_LOW","contributenew.opentermsarchive.org/51.89.227.200","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","contributenew.opentermsarchive.org/51.89.227.200","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","contributenew.opentermsarchive.org/51.89.227.200","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","contributenew.opentermsarchive.org/51.89.227.200","443","INFO","not offered","",""
"cipherlist_STRONG","contributenew.opentermsarchive.org/51.89.227.200","443","OK","offered","",""
"cipherorder_TLSv1_2","contributenew.opentermsarchive.org/51.89.227.200","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","contributenew.opentermsarchive.org/51.89.227.200","443","OK","server","",""
"protocol_negotiated","contributenew.opentermsarchive.org/51.89.227.200","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","contributenew.opentermsarchive.org/51.89.227.200","443","OK","TLS_AES_256_GCM_SHA384, 253 bit ECDH (X25519)","",""
"FS","contributenew.opentermsarchive.org/51.89.227.200","443","OK","offered","",""
"FS_ciphers","contributenew.opentermsarchive.org/51.89.227.200","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_ECDHE_curves","contributenew.opentermsarchive.org/51.89.227.200","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","contributenew.opentermsarchive.org/51.89.227.200","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'next protocol/#13172' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","contributenew.opentermsarchive.org/51.89.227.200","443","INFO","valid for 86400 seconds only (<daily)","",""
"SSL_sessionID_support","contributenew.opentermsarchive.org/51.89.227.200","443","INFO","yes","",""
"sessionresumption_ticket","contributenew.opentermsarchive.org/51.89.227.200","443","INFO","supported","",""
"sessionresumption_ID","contributenew.opentermsarchive.org/51.89.227.200","443","INFO","supported","",""
"TLS_timestamp","contributenew.opentermsarchive.org/51.89.227.200","443","INFO","random","",""
"certificate_compression","contributenew.opentermsarchive.org/51.89.227.200","443","INFO","none","",""
"clientAuth","contributenew.opentermsarchive.org/51.89.227.200","443","INFO","none","",""
"cert_numbers","contributenew.opentermsarchive.org/51.89.227.200","443","INFO","1","",""
"cert_signatureAlgorithm","contributenew.opentermsarchive.org/51.89.227.200","443","OK","SHA256 with RSA","",""
"cert_keySize","contributenew.opentermsarchive.org/51.89.227.200","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","contributenew.opentermsarchive.org/51.89.227.200","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","contributenew.opentermsarchive.org/51.89.227.200","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","contributenew.opentermsarchive.org/51.89.227.200","443","INFO","03F708AD42BA7D89B968D17854037E124586","",""
"cert_serialNumberLen","contributenew.opentermsarchive.org/51.89.227.200","443","INFO","18","",""
"cert_fingerprintSHA1","contributenew.opentermsarchive.org/51.89.227.200","443","INFO","39ED8BA9FAB6BDCFF9101DADE150E8F20340A0FD","",""
"cert_fingerprintSHA256","contributenew.opentermsarchive.org/51.89.227.200","443","INFO","321F911EC7EA52DD3AB2B6EDD94EB0558DD60351CAF77B931BC4C2797EE6800D","",""
"cert","contributenew.opentermsarchive.org/51.89.227.200","443","INFO","-----BEGIN CERTIFICATE----- MIIFdjCCBF6gAwIBAgISA/cIrUK6fYm5aNF4VAN+EkWGMA0GCSqGSIb3DQEBCwUA MDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQD EwJSMzAeFw0yMjA3MDcwOTM0NDZaFw0yMjEwMDUwOTM0NDVaMC0xKzApBgNVBAMT ImNvbnRyaWJ1dGVuZXcub3BlbnRlcm1zYXJjaGl2ZS5vcmcwggEiMA0GCSqGSIb3 DQEBAQUAA4IBDwAwggEKAoIBAQDZX+HjhFCaYm6Z52F98X3Pk131vRr0IfNq1org 73BJvH1sg82VZu7eJzcD1zuf1sxdvV7eQIECh6s+bd0F9G5PTUboDqAOkTHxatN0 SdaJdwk7eSdKyTupzYjX+Z7IgN6qHUPgMX/9hHg0k0M3eF2chMm07+nhRRANAqGy bwbyLnDfvKGI/VF+8fDIyNEq52KwhjEBIpfoRiazOHrLuJj7mWW2yZ3VE+13iYFg y8Jjr5JfNaTFtrbWzGUhTDdB+cM4W/OZj+U2MT+TXkSjYVzeBUknHz6njW2Bm7O/ SibIKsIiQmGSmNp8z6tNMbPPrgjPmRTg1STwhcF+omNxGm7LAgMBAAGjggKJMIIC hTAOBgNVHQ8BAf8EBAMCBaAwHQYDVR0lBBYwFAYIKwYBBQUHAwEGCCsGAQUFBwMC MAwGA1UdEwEB/wQCMAAwHQYDVR0OBBYEFKn1kGj5hj5+LD128cchRuePrc09MB8G A1UdIwQYMBaAFBQusxe3WFbLrlAJQOYfr52LFMLGMFUGCCsGAQUFBwEBBEkwRzAh BggrBgEFBQcwAYYVaHR0cDovL3IzLm8ubGVuY3Iub3JnMCIGCCsGAQUFBzAChhZo dHRwOi8vcjMuaS5sZW5jci5vcmcvMFkGA1UdEQRSMFCCImNvbnRyaWJ1dGVuZXcu b3BlbnRlcm1zYXJjaGl2ZS5vcmeCKmNvbnRyaWJ1dGVuZXcucHJlcHJvZC5vcGVu dGVybXNhcmNoaXZlLm9yZzBMBgNVHSAERTBDMAgGBmeBDAECATA3BgsrBgEEAYLf EwEBATAoMCYGCCsGAQUFBwIBFhpodHRwOi8vY3BzLmxldHNlbmNyeXB0Lm9yZzCC AQQGCisGAQQB1nkCBAIEgfUEgfIA8AB2AEalVet1+pEgMLWiiWn0830RLEF0vv1J uIWr8vxw/m1HAAABgdg5+H8AAAQDAEcwRQIhAKvJtS95d6y58Wp8WY4W3JHfPbZK c+pgIsEBX08TmaezAiB+ILU9AxwEag3mIsOqoilLGu3p3RhAIAUwJC4Z5MEXngB2 AN+lXqtogk8fbK3uuF9OPlrqzaISpGpejjsSwCBEXCpzAAABgdg5+k4AAAQDAEcw RQIhAKvKuiZCrOygvplKf2laITmnfFX281WH+bfxpUk5BeB3AiBqO9/sKZL08YIJ sa5FRXAprCao+br8zKkV2nr/VEQ3KDANBgkqhkiG9w0BAQsFAAOCAQEAR3SMbsJu Dn/bTs8AsaitysYDzLssUPr4KoAFoX5dhY1UlOf5BDJ9K/V0Ah8OeXzPlYuA4Mbg zBcwwbh5YKnKDoRdZHh0Jg6ZhUP6o2phGfTi3Ikb3v6yKgrwuj6mUqWZcDgTHRq4 bAOJ6MP5AcTvjmiV+SDMNLGDGj2y7PkhH4jvKBStpuXdjPjeIeuv7gDdgreQyIO7 IuYG8ifyk3XSyRn0wZ6kyezKGimkAnBTPZcoRRdAmnBPfEXJY0FIqwLiyv8/Lijz pG7TtC62K1kULnvf+mZVMpq5x2inzoiUocxKEIJFMy2HCMGEQzcfWihcS474gtL5 NvbkS/xe9qZh4Q== -----END CERTIFICATE-----","",""
"cert_commonName","contributenew.opentermsarchive.org/51.89.227.200","443","OK","contributenew.opentermsarchive.org","",""
"cert_commonName_wo_SNI","contributenew.opentermsarchive.org/51.89.227.200","443","INFO","contributenew.opentermsarchive.org","",""
"cert_subjectAltName","contributenew.opentermsarchive.org/51.89.227.200","443","INFO","contributenew.opentermsarchive.org contributenew.preprod.opentermsarchive.org","",""
"cert_trust","contributenew.opentermsarchive.org/51.89.227.200","443","OK","Ok via SAN and CN (same w/o SNI)","",""
"cert_chain_of_trust","contributenew.opentermsarchive.org/51.89.227.200","443","OK","passed.","",""
"cert_certificatePolicies_EV","contributenew.opentermsarchive.org/51.89.227.200","443","INFO","no","",""
"cert_expirationStatus","contributenew.opentermsarchive.org/51.89.227.200","443","OK","87 >= 30 days","",""
"cert_notBefore","contributenew.opentermsarchive.org/51.89.227.200","443","INFO","2022-07-07 09:34","",""
"cert_notAfter","contributenew.opentermsarchive.org/51.89.227.200","443","OK","2022-10-05 09:34","",""
"cert_extlifeSpan","contributenew.opentermsarchive.org/51.89.227.200","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","contributenew.opentermsarchive.org/51.89.227.200","443","INFO","not present","",""
"cert_crlDistributionPoints","contributenew.opentermsarchive.org/51.89.227.200","443","INFO","--","",""
"cert_ocspURL","contributenew.opentermsarchive.org/51.89.227.200","443","INFO","http://r3.o.lencr.org","",""
"OCSP_stapling","contributenew.opentermsarchive.org/51.89.227.200","443","LOW","not offered","",""
"cert_mustStapleExtension","contributenew.opentermsarchive.org/51.89.227.200","443","INFO","--","",""
"DNS_CAArecord","contributenew.opentermsarchive.org/51.89.227.200","443","LOW","--","",""
"certificate_transparency","contributenew.opentermsarchive.org/51.89.227.200","443","OK","yes (certificate extension)","",""
"certs_countServer","contributenew.opentermsarchive.org/51.89.227.200","443","INFO","3","",""
"certs_list_ordering_problem","contributenew.opentermsarchive.org/51.89.227.200","443","INFO","no","",""
"cert_caIssuers","contributenew.opentermsarchive.org/51.89.227.200","443","INFO","R3 (Let's Encrypt from US)","",""
