"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","opentermsarchive-org.osc-secnum-fr1.scalingo.io/185.21.194.105","443","INFO","HTTP","",""
"pre_128cipher","opentermsarchive-org.osc-secnum-fr1.scalingo.io/185.21.194.105","443","INFO","No 128 cipher limit bug","",""
"SSLv2","opentermsarchive-org.osc-secnum-fr1.scalingo.io/185.21.194.105","443","OK","not offered","",""
"SSLv3","opentermsarchive-org.osc-secnum-fr1.scalingo.io/185.21.194.105","443","OK","not offered","",""
"TLS1","opentermsarchive-org.osc-secnum-fr1.scalingo.io/185.21.194.105","443","INFO","not offered","",""
"TLS1_1","opentermsarchive-org.osc-secnum-fr1.scalingo.io/185.21.194.105","443","INFO","not offered","",""
"TLS1_2","opentermsarchive-org.osc-secnum-fr1.scalingo.io/185.21.194.105","443","OK","offered","",""
"TLS1_3","opentermsarchive-org.osc-secnum-fr1.scalingo.io/185.21.194.105","443","OK","offered with final","",""
"ALPN_HTTP2","opentermsarchive-org.osc-secnum-fr1.scalingo.io/185.21.194.105","443","OK","h2","",""
"ALPN","opentermsarchive-org.osc-secnum-fr1.scalingo.io/185.21.194.105","443","INFO","http/1.1","",""
"cipherlist_NULL","opentermsarchive-org.osc-secnum-fr1.scalingo.io/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","opentermsarchive-org.osc-secnum-fr1.scalingo.io/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","opentermsarchive-org.osc-secnum-fr1.scalingo.io/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_LOW","opentermsarchive-org.osc-secnum-fr1.scalingo.io/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","opentermsarchive-org.osc-secnum-fr1.scalingo.io/185.21.194.105","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","opentermsarchive-org.osc-secnum-fr1.scalingo.io/185.21.194.105","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","opentermsarchive-org.osc-secnum-fr1.scalingo.io/185.21.194.105","443","INFO","not offered","",""
"cipherlist_STRONG","opentermsarchive-org.osc-secnum-fr1.scalingo.io/185.21.194.105","443","OK","offered","",""
"cipherorder_TLSv1_2","opentermsarchive-org.osc-secnum-fr1.scalingo.io/185.21.194.105","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","opentermsarchive-org.osc-secnum-fr1.scalingo.io/185.21.194.105","443","OK","server","",""
"protocol_negotiated","opentermsarchive-org.osc-secnum-fr1.scalingo.io/185.21.194.105","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","opentermsarchive-org.osc-secnum-fr1.scalingo.io/185.21.194.105","443","OK","TLS_AES_256_GCM_SHA384, 253 bit ECDH (X25519)","",""
"FS","opentermsarchive-org.osc-secnum-fr1.scalingo.io/185.21.194.105","443","OK","offered","",""
"FS_ciphers","opentermsarchive-org.osc-secnum-fr1.scalingo.io/185.21.194.105","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_ECDHE_curves","opentermsarchive-org.osc-secnum-fr1.scalingo.io/185.21.194.105","443","OK","prime256v1 secp384r1 secp521r1","",""
